Store,Latitude,Longtitude,Address,,ward_name
Whole Foods Market,40.740008,-74.169992,"633 Broad St, Newark, NJ 07102",,Central
Garden Farm Market,40.73234,-74.158791,"470 Market Newark, NJ 07105",,East
Seabra Foods,40.729894,-74.160118,"123 Ferry St, Newark, NJ 07105",,East
AJ Seabra's,40.728441,-74.161223,"260 Lafayette St, Newark, NJ 07105",,East
A & J Seabra Supermarket,40.726026,-74.166437,"64 Pacific St, Newark, NJ 07105",,East
ShopRite of Newark,40.736667,-74.186159,"206 Springfield Ave, Newark, NJ 07103",,Central
Seabra Foods,40.723086,-74.166518,"219 Chestnut St, Newark, NJ 07105",,East
C Town Supermarket,40.724605,-74.182585,"120 Clinton Ave, Newark, NJ 0711",,East
Seabra Foods,40.725703,-74.152689,"73-83 Wilson Ave, Newark, NJ 07105",,East
Seabra Foods,40.75498,-74.144589,"180 Schuyler Ave, Kearny, NJ 07032",,Kearny
Seabra Foods,40.692736,-74.237309,"1132 Liberty Ave, Hillside, NJ 07205",,Hillside
Seabra Foods,40.742836,-74.15467,"429 Bergen Ave, Harrison, NJ 07029",,Harrison
ShopRite of Kearny,40.756896,-74.160358,"100 Passaic Ave, Kearny, NJ 07032",,Kearny
ShopRite of East Orange,40.766609,-74.218841,"533 Dr. Martin Luther King Jr Blvd, East Orange, NJ 07019",,Oranges
ShopRite of Hillside,40.700313,-74.234047,"367 US 22, Hillside, NJ 07205",,Hillside
C Town Supermarket,40.738633,-74.224847,"910 18th Ave, Newark, NJ 07106",,West
C Town Supermarket,40.772768,-74.22895,"16-26 N Day St, City of Orange, NJ 07050",,Oranges
Walmart ,40.747664,-74.137487,"150 Harrison Ave, Kearny, NJ 07032",,Kearny
Save-A-Lot,40.731305,-74.20444,"545 Springfield Ave, Newark, NJ 07103",,South
